id,id_kabupaten_kota,kecamatan,deleted
352,46,TANJUNG MORAWA,F
353,32,ANGKOLA SANGKUNUR,F
354,28,PARMONANGAN,F
355,34,SIMANGAMBAT,F
356,39,SORKAM BARAT,F
357,35,BARUMUN TENGAH,F
358,28,TARUTUNG,F
359,32,SAIPAR DOLOK HOLE,F
360,43,SIANJUR MULA-MULA,F
361,39,PANDAN,F
362,35,BATANG LUBU SUTAM,F
363,37,PADANG SIDEMPUAN SELATAN,F
364,28,GAROGA,F
365,35,SOSA,F
366,38,HABINSARAN,F
367,38,BOR-BOR,F
368,35,ULU BARUMUN,F
369,31,DOLOK MERAWAN,F
370,47,GUNUNGSITOLI UTARA,F
371,48,LAHEWA,F
372,24,PULAU-PULAU BATU UTARA,F
373,48,AFULU,F
374,49,IDANO GAWO,F
375,33,AIR BATU,F
376,30,GEBANG,F
377,27,KUALA LEDONG (KUALUH LEIDONG),F
378,42,LIMAPULUH,F
379,33,AIR JOMAN,F
380,36,KAMPUNG RAKYAT,F
381,33,MERANTI,F
382,33,TELUK DALAM,F
383,25,SINUNUKAN,F
384,45,PANAI HULU,F
385,46,BIRU-BIRU,F
386,50,TIGA PANAH,F
387,50,MEREK,F
388,49,GIDO,F
389,25,ULU PUNGKUT,F
390,35,HUTA RAJA TINGGI,F
391,39,TAPIAN NAULI,F
392,48,TUHEMBERUA,F
393,30,PANGKALAN SUSU,F
394,30,SEI LEPAN,F
395,30,SAWIT SEBERANG,F
396,30,SIRAPIT (SERAPIT),F
397,24,ULUSUSUA,F
398,24,AMANDRAYA,F
399,33,BUNTU PANE,F
400,38,PINTU POHAN MERANTI,F
401,29,SIDAMANIK,F
402,43,SIMANINDO,F
403,40,PAKKAT,F
404,38,PORSEA,F
405,29,RAYA KAHEAN,F
406,24,ULUNOYO,F
407,51,LOLOFITU MOI,F
408,24,UMBUNASI,F
409,50,KUTA BULUH,F
410,52,MEDAN AMPLAS,F
411,46,PERCUT SEI TUAN,F
412,24,LOLOWAU,F
