id,id_kecamatan,kelurahan_desa,kode_pos,deleted
23023,1653,PEKONDOH,35367,F
23024,1744,PEKURUN BARAT,34582,F
23025,1744,PEKURUN SELATAN,34582,F
23026,1719,PEKURUN TENGAH,34582,F
23027,1719,PEKURUN UDIK,34582,F
23028,1744,PEKURUN UTARA,34582,F
23029,1719,PEKURUN,34582,F
23030,1779,PELINDUNG JAYA,34388,F
23031,1633,PELITA JAYA,34875,F
23032,1727,PELITA,35117,F
23033,1604,PEMANCAR,34876,F
23034,1623,PEMANGGILAN,35362,F
23035,1605,PEMATANG BARU,35594,F
23036,1707,PEMATANG KASIH,34558,F
23037,1652,PEMATANG NEBAK,35682,F
23038,1636,PEMATANG PASIR,35596,F
23039,1567,PEMATANG TAHALO,34384,F
23040,1775,PEMATANG WANGI,35141,F
23041,1569,PEMATANG,35551,F
23042,1614,PEMERIHAN,34883,F
23043,1602,PEMERIHAN,34874,F
23044,1779,PEMPEN,34388,F
23045,1662,PEMULIHAN,35452,F
23046,1643,PENAGAN RATU,34583,F
23047,1645,PENANGGUNGAN,35379,F
23048,1664,PENANGGUNGAN,35384,F
23049,1574,PENANTIAN ULUBELU,35387,F
23050,1575,PENANTIAN,35679,F
23051,1578,PENAWAR BARU,34681,F
23052,1571,PENAWAR JAYA,34682,F
23053,1571,PENAWAR REJO,34682,F
23054,1691,PENDOWO ASRI,34596,F
23055,1765,PENENGAHAN RAYA,35112,F
23056,1587,PENENGAHAN,34878,F
23057,1765,PENENGAHAN,35112,F
23058,1615,PENENGAHAN,34769,F
23059,1673,PENENGAHAN,35368,F
23060,1742,PENGAJARAN,35215,F
23061,1707,PENGARINGAN,34558,F
23062,1607,PENGEHAN,34877,F
23063,1648,PENGGAWA V ILIR,34874,F
23064,1587,PENGGAWA V TENGAH,34878,F
23065,1587,PENGGAWA V ULU,34878,F
23066,1648,PENGGAWA V,34874,F
23067,1669,PENIANGAN,34384,F
23068,1618,PENUMANGAN BARU,34693,F
23069,1618,PENUMANGAN,34693,F
23070,1614,PENYANDINGAN,34883,F
23071,1770,PENYANDINGAN,35379,F
23072,1759,PENYANDINGAN,35453,F
23073,1643,PERADUAN WARAS,34583,F
23074,1748,PERUMNAS WAY HALIM,35141,F
23075,1775,PERUMNAS WAY KANDIS,35141,F
23076,1769,PERWATA,35237,F
23077,1678,PESANGUAN,35382,F
23078,1735,PESAWAHAN,35223,F
23079,1657,PESAWARAN INDAH,35451,F
23080,1591,PESAWARAN,35368,F
23081,1574,PETAY KAYU,35387,F
23082,1761,PIDADA,35241,F
23083,1677,PINANG JAYA,35158,F
23084,1699,PISANG BARU,34763,F
23085,1699,PISANG INDAH,34763,F
23086,1661,PISANG,35592,F
23087,1701,PODOMORO,35373,F
23088,1701,PODOSARI,35373,F
23089,1573,PONCO WARNO,34174,F
23090,1640,PONCOKRESNO,35353,F
23091,1657,PONCOREJO,35451,F
23092,1562,PONCOWATI,34163,F
23093,1746,PRIANGAN RATU,34557,F
23094,1701,PRINGSEWU BARAT,35373,F
23095,1701,PRINGSEWU SELATAN,35373,F
23096,1701,PRINGSEWU TIMUR,35373,F
23097,1701,PRINGSEWU UTARA,35373,F
23098,1647,PUGUNG RAHARJO,34385,F
23099,1710,PUJI HARJO,35376,F
23100,1665,PUJIRAHAYU,35357,F
23101,1568,PUJO BASUKI,34172,F
23102,1568,PUJOASRI,34172,F
23103,1766,PUJODADI,35682,F
23104,1568,PUJODADI,34172,F
23105,1568,PUJOKERTO,34172,F
23106,1640,PUJORAHAYU,35353,F
23107,1615,PULAU BATU,34769,F
23108,1660,PULAU BENAWANG,35384,F
23109,1605,PULAU JAYA,35594,F
23110,1626,PULAU LEGUNDI,35453,F
23111,1759,PULAU PAHAWANG,35453,F
23112,1764,PULAU PANGGUNG,34556,F
23113,1575,PULAU PANGGUNG,35679,F
23114,1605,PULAU TENGAH,35594,F
23115,1687,PULO GADUNG,34595,F
23116,1618,PULUNG KENCANA,34693,F
23117,1643,PUNGGUK LAMA,34583,F
23118,1592,PUNGKUT,35675,F
23119,1714,PUNJUL AGUNG,34767,F
23120,1729,PURA LAKSANA,34884,F
23121,1722,PURAJAYA,34871,F
23122,1723,PURAMEKAR,34871,F
23123,1722,PURAWIWITAN,34871,F
23124,1608,PURBA SAKTI,34581,F
23125,1755,PURBO SEMBODO,34333,F
23126,1649,PURNAMA TUNGGAL,35213,F
23127,1561,PURWA AGUNG,34769,F
23128,1561,PURWA NEGARA,34769,F
23129,1571,PURWAJAYA,34682,F
23130,1655,PURWO ASRI,34117,F
23131,1647,PURWO KENCONO,34385,F
23132,1655,PURWO SARI,34118,F
23133,1568,PURWOADI,34172,F
23134,1641,PURWODADI DALAM,35361,F
23135,1565,PURWODADI MEKAR,34381,F
23136,1692,PURWODADI SIMPANG,35361,F
23137,1564,PURWODADI,35674,F
23138,1634,PURWODADI,34173,F
23139,1659,PURWODADI,35378,F
23140,1568,PURWODADI,34172,F
23141,1662,PURWODADI,35452,F
23142,1772,PURWOREJO,34153,F
23143,1640,PURWOREJO,35353,F
23144,1625,PURWOREJO,34175,F
23145,1767,PURWOREJO,34387,F
23146,1704,PURWOSARI,34372,F
23147,1672,PURWOSARI,35379,F
23148,1669,PURWOSARI,34384,F
23149,1623,PURWOSARI,35362,F
23150,1625,PURWOSARI,34175,F
23151,1646,PURWOTANI,35365,F
23152,1651,PUTIH DOH,35683,F
23153,1702,PUTRA AJI DUA,34194,F
23154,1702,PUTRA AJI SATU,34194,F
23155,1635,PUTRA BUYUT,34161,F
23156,1642,QURNIA MATARAM,34164,F
23157,1702,RAJA BASA BATANGHARI,34194,F
23158,1776,RAJA BASA LAMA DUA (II),34375,F
23159,1776,RAJA BASA LAMA SATU (I),34375,F
23160,1776,RAJA BASA LAMA,34375,F
23161,1590,RAJA BASA,35686,F
23162,1619,RAJA BASA,34883,F
23163,1675,RAJA WALI,34159,F
23164,1762,RAJABASA BARU,34199,F
23165,1734,RAJABASA JAYA,35144,F
23166,1734,RAJABASA NUNYAI,35144,F
23167,1734,RAJABASA PEMUKA,35144,F
23168,1734,RAJABASA RAYA,35144,F
23169,1734,RAJABASA,35144,F
